year,insurance_type,region,earned_premium,incurred_loss
2015,Long-term Care,California,10244230,8670677
2024,Accident Insurance,Florida,8027390,8250288
2018,Accident Insurance,Florida,7814019,7854161
2018,Cancer Insurance,Washington,4741818,3772795
2018,Long-term Care,Michigan,3862965,4136638
2021,Cancer Insurance,North Carolina,3794110,3539635
2022,Dental & Vision,Texas,8977430,6888219
2019,Indemnity Health,Georgia,5184202,4953097
2017,Long-term Care,Arizona,3121299,3011249
2023,Indemnity Health,Virginia,3970845,3171257
2021,Long-term Care,Missouri,3648096,3984745
2023,Dental & Vision,Massachusetts,3836583,3826775
2016,Cancer Insurance,North Carolina,5522010,4932062
2024,Dental & Vision,Arizona,4268070,3737388
2015,Indemnity Health,Massachusetts,5489594,5416806
2019,Dental & Vision,Missouri,3882051,2968132
2022,Critical Illness,Arizona,3735692,2656702
2019,Dental & Vision,Florida,7724172,5968627
2016,Cancer Insurance,Georgia,3427265,2683706
2017,Accident Insurance,Washington,3562973,2342078
2024,Cancer Insurance,Missouri,2568734,2631502
2022,Dental & Vision,Virginia,3530175,3305495
2022,Indemnity Health,Missouri,3033111,2556477
2019,Long-term Care,Arizona,4428664,3772728
2017,Dental & Vision,New York,9579836,8725061
2020,Cancer Insurance,Massachusetts,5048902,4548932
2016,Long-term Care,Ohio,3716090,3864487
2017,Long-term Care,Wisconsin,2644344,2950361
2021,Dental & Vision,Ohio,5279824,5081395
2016,Cancer Insurance,California,9370459,8428793
2020,Dental & Vision,Washington,5561034,4843262
2019,Accident Insurance,Tennessee,4371083,4349808
2022,Accident Insurance,Ohio,5888647,5971833
2016,Indemnity Health,New Jersey,6224868,6126302
2021,Dental & Vision,Texas,8105866,6495258
2016,Dental & Vision,Illinois,5411232,4814427
2022,Long-term Care,Michigan,3370064,4046976
2015,Dental & Vision,Wisconsin,2885433,2582717
2019,Accident Insurance,Missouri,3927269,2798256
2024,Dental & Vision,Maryland,4261447,3124963
2016,Critical Illness,Texas,10734570,6185699
2020,Long-term Care,Texas,10237688,8765003
2021,Critical Illness,North Carolina,4176225,2991622
2019,Indemnity Health,Arizona,3003301,2595448
2021,Critical Illness,Virginia,4972384,3130997
2024,Long-term Care,North Carolina,4914970,5353112
2024,Indemnity Health,New York,10157241,10865953
2020,Dental & Vision,New Jersey,5684420,4599807
2017,Long-term Care,Ohio,5587409,4530456
2018,Accident Insurance,Illinois,4769332,4570696
2023,Dental & Vision,Michigan,4650928,4769978
2023,Dental & Vision,Georgia,5426865,5110526
2019,Cancer Insurance,Arizona,4314399,3364984
2023,Dental & Vision,North Carolina,5088289,3503515
2023,Long-term Care,Arizona,4252870,5076973
2018,Long-term Care,Virginia,5148476,6365275
2021,Cancer Insurance,New York,10630529,6501645
2024,Dental & Vision,New York,10299247,9329215
2018,Accident Insurance,Florida,8384017,7365044
2017,Critical Illness,Michigan,3826418,2158670
2016,Dental & Vision,Ohio,4408790,3981212
2015,Long-term Care,Maryland,3312345,2873997
2018,Indemnity Health,Michigan,3448269,3278123
2020,Dental & Vision,Massachusetts,5650564,4282262
2018,Accident Insurance,Indiana,2803563,1887284
2022,Accident Insurance,California,12272000,9706482
2024,Indemnity Health,Ohio,4813707,4428197
2022,Indemnity Health,Ohio,4773779,3695420
2022,Cancer Insurance,North Carolina,5376809,5192199
2023,Cancer Insurance,North Carolina,4579716,2683901
2018,Critical Illness,Michigan,3396663,2770009
2024,Dental & Vision,Maryland,4362716,3844054
2020,Cancer Insurance,Massachusetts,3936813,2997709
2022,Critical Illness,Indiana,3127159,2795136
2023,Indemnity Health,Ohio,3645933,3278840
2017,Accident Insurance,Illinois,5993385,4947029
2024,Critical Illness,North Carolina,4563196,3865452
2021,Long-term Care,Missouri,3321813,2961895
2019,Dental & Vision,Pennsylvania,4916087,3537146
2022,Indemnity Health,Arizona,4497284,3555549
2024,Accident Insurance,Texas,11307009,10014324
2016,Dental & Vision,Massachusetts,3607040,2706892
2021,Indemnity Health,Florida,9162134,8227814
2022,Indemnity Health,Pennsylvania,5518074,4521431
2015,Long-term Care,Ohio,3831161,4000278
2018,Indemnity Health,Georgia,4892250,4184861
2017,Long-term Care,Tennessee,3042452,3752799
2015,Accident Insurance,Washington,4733899,3132651
2023,Cancer Insurance,Arizona,4678076,4136005
2020,Indemnity Health,New York,9152210,8842885
2015,Critical Illness,Florida,8450186,4725832
2018,Dental & Vision,California,10030752,6559447
2024,Critical Illness,Florida,6242338,4978178
2017,Critical Illness,Ohio,5442822,4198743
2020,Cancer Insurance,Texas,11186729,11157262
2020,Critical Illness,Michigan,4732371,3464839
2019,Critical Illness,North Carolina,5161860,4260643
2018,Indemnity Health,Florida,7980623,7839561
2019,Critical Illness,New York,8462834,7560783
2020,Cancer Insurance,Arizona,2853021,1825769
2016,Dental & Vision,Georgia,4570865,3442881
2018,Critical Illness,Virginia,5486730,4974857
2024,Critical Illness,Missouri,3909780,2504629
2018,Indemnity Health,Texas,10448027,11282111
2024,Indemnity Health,Arizona,3464191,3046846
2022,Accident Insurance,North Carolina,4892392,4084302
2017,Cancer Insurance,Tennessee,3542960,2396196
2024,Accident Insurance,Georgia,3140752,3169871
2020,Long-term Care,Arizona,4044869,4075325
2020,Long-term Care,Tennessee,2808711,3261557
2017,Accident Insurance,Massachusetts,4035523,3308782
2021,Cancer Insurance,Washington,4315475,2359839
2023,Indemnity Health,California,9087770,7302338
2019,Dental & Vision,Illinois,7273779,6166920
2022,Indemnity Health,Florida,6976058,7719944
2016,Long-term Care,Washington,4684480,5598349
2024,Dental & Vision,New York,9449660,7643104
2022,Dental & Vision,Tennessee,2867520,2838136
2018,Cancer Insurance,Michigan,3272610,2091245
2015,Dental & Vision,New York,8775644,7340844
2019,Cancer Insurance,Missouri,3677452,2363152
2021,Dental & Vision,Michigan,3123464,2037456
2015,Accident Insurance,Ohio,4275275,2855356
2015,Critical Illness,Arizona,2834884,2097143
2021,Dental & Vision,Wisconsin,4087212,3591389
2024,Critical Illness,Missouri,3243913,2882157
2019,Long-term Care,New Jersey,6313649,7353569
2018,Critical Illness,New York,11792673,8194522
2024,Long-term Care,Virginia,5187450,5874322
2015,Cancer Insurance,Missouri,3924466,3127097
2019,Critical Illness,Tennessee,3354865,2890281
2019,Dental & Vision,Tennessee,3178902,3136037
2019,Critical Illness,Georgia,5018640,3710646
2016,Accident Insurance,Michigan,3474018,2327673
2019,Dental & Vision,North Carolina,4283002,2849878
2018,Cancer Insurance,Michigan,3326215,2085194
2015,Long-term Care,Georgia,4155170,4195851
2019,Dental & Vision,Arizona,4226998,3183660
2021,Indemnity Health,Indiana,3715687,4219563
2016,Cancer Insurance,Tennessee,4028611,3180338
2015,Cancer Insurance,Massachusetts,4911066,4060974
2021,Accident Insurance,Wisconsin,3424612,3012629
2022,Accident Insurance,Wisconsin,2798459,1969846
2024,Dental & Vision,Massachusetts,5528174,4966026
2024,Indemnity Health,Wisconsin,2963825,2310269
2023,Accident Insurance,Michigan,4120455,2860766
2015,Long-term Care,New York,9470956,9652949
2016,Indemnity Health,Washington,5593419,4734058
2021,Cancer Insurance,Illinois,5034038,3983351
2022,Critical Illness,Georgia,3248285,2508737
2023,Long-term Care,Michigan,4426814,5202790
2018,Critical Illness,Wisconsin,3742904,2096669
2018,Cancer Insurance,Wisconsin,3272402,2871032
2020,Indemnity Health,Wisconsin,3851028,3097027
2016,Accident Insurance,Illinois,5158475,4567553
2018,Long-term Care,Florida,6675273,7600315
2020,Accident Insurance,Michigan,4823513,4231840
2023,Critical Illness,Florida,6492007,4072379
2023,Cancer Insurance,Pennsylvania,6356012,4219852
2020,Indemnity Health,Washington,3832366,3954585
2016,Cancer Insurance,Michigan,3058492,2673286
2023,Indemnity Health,Maryland,3970832,3088165
2018,Accident Insurance,Georgia,3936750,2504444
2015,Long-term Care,Illinois,6099897,5921745
2016,Cancer Insurance,California,13134240,12293459
2020,Accident Insurance,New Jersey,5902517,4461114
2019,Dental & Vision,Michigan,4013878,3617397
2016,Accident Insurance,New Jersey,6150848,4824456
2023,Accident Insurance,Florida,6340647,6534626
2016,Accident Insurance,Wisconsin,2726947,2130419
2019,Cancer Insurance,California,10941250,9428932
2021,Indemnity Health,North Carolina,3596602,3172013
2018,Critical Illness,Indiana,2533305,1387612
2022,Cancer Insurance,Georgia,5392016,4417728
2020,Indemnity Health,New York,8216359,9541039
2021,Long-term Care,Texas,9385969,11038382
2017,Critical Illness,Michigan,4876356,4144785
2024,Accident Insurance,Michigan,3959384,2723567
2019,Dental & Vision,California,9633474,8495570
2016,Indemnity Health,North Carolina,5268002,5179884
2022,Critical Illness,Virginia,4828570,2959228
2017,Cancer Insurance,Missouri,2629207,2108131
2016,Cancer Insurance,Washington,3600902,2998195
2016,Dental & Vision,Pennsylvania,4662415,3471937
2015,Critical Illness,Washington,3900781,2160936
2020,Indemnity Health,Indiana,3575599,3056706
2024,Dental & Vision,Ohio,5832854,5065022
2024,Critical Illness,Washington,5763719,3127874
2020,Cancer Insurance,California,12982485,10789960
2016,Long-term Care,Texas,11824570,12566864
2018,Critical Illness,Ohio,3775104,2507568
2021,Indemnity Health,Missouri,3783034,4270727
2016,Accident Insurance,Indiana,3892663,3428768
2019,Critical Illness,Indiana,2527328,1848886
2020,Cancer Insurance,Michigan,4738423,3989516
2021,Indemnity Health,Washington,5264620,5390010
2017,Dental & Vision,Wisconsin,3794624,2663738
2019,Long-term Care,Tennessee,2598835,3033368
2017,Critical Illness,Missouri,4111148,2849777
2020,Accident Insurance,Indiana,3545676,2483257
2016,Indemnity Health,Illinois,5908771,4969307
2015,Critical Illness,Georgia,4419511,3511454
2024,Critical Illness,Missouri,3157963,1723303
2020,Long-term Care,Illinois,6325115,7981755
2020,Critical Illness,Virginia,5147217,2727097
2022,Accident Insurance,Maryland,4216167,3564985
2024,Indemnity Health,Texas,7556168,6344726
2019,Long-term Care,Indiana,3819977,4413536
2018,Indemnity Health,North Carolina,3905685,3152419
2020,Cancer Insurance,Illinois,6012933,3294767
2022,Dental & Vision,Wisconsin,3576197,3035737
2019,Dental & Vision,Washington,5065388,4515349
2018,Cancer Insurance,Florida,8284870,6572954
2019,Critical Illness,Florida,9269252,8101447
2024,Long-term Care,Washington,5157177,5360309
2016,Long-term Care,Missouri,3990178,4295533
2021,Accident Insurance,Arizona,4070173,2860806
2018,Critical Illness,New Jersey,4449101,3797995
2015,Indemnity Health,Pennsylvania,6429258,5755215
2015,Critical Illness,Texas,10779883,8865591
2016,Accident Insurance,Illinois,5382747,3752866
2015,Long-term Care,Washington,5191947,4251717
2017,Long-term Care,Tennessee,3594133,3938191
2024,Critical Illness,Arizona,3775294,3467548
2021,Critical Illness,Wisconsin,2666293,1705035
2017,Dental & Vision,Maryland,5063013,4555445
2020,Indemnity Health,New Jersey,5702865,5308502
2018,Critical Illness,Pennsylvania,6463366,3685928
2016,Critical Illness,Tennessee,4474315,2857585
2016,Cancer Insurance,Wisconsin,3739591,2265301
2020,Cancer Insurance,Michigan,4589600,4022933
2018,Indemnity Health,Georgia,4068587,3023978
2023,Dental & Vision,Pennsylvania,6555414,6566398
2023,Long-term Care,Tennessee,4246549,4356811
2018,Critical Illness,New York,9538554,6714014
2015,Indemnity Health,Ohio,4607228,3922928
2022,Dental & Vision,Missouri,3036774,2000355
2018,Accident Insurance,Indiana,2706177,2717319
2015,Critical Illness,Florida,7387689,4743841
2022,Cancer Insurance,New Jersey,5096750,3523446
2020,Cancer Insurance,Georgia,5406600,4744757
2020,Accident Insurance,Pennsylvania,6291178,5011993
2024,Indemnity Health,Georgia,4514334,4197917
2017,Long-term Care,Ohio,5925698,5493758
2021,Long-term Care,Wisconsin,3460344,3835384
2018,Indemnity Health,New Jersey,3997278,3438823
2018,Cancer Insurance,Tennessee,4266748,3450398
2016,Dental & Vision,Virginia,3239873,2264292
2019,Accident Insurance,North Carolina,3933184,3024848
2018,Long-term Care,Indiana,2319872,2145880
2024,Indemnity Health,New Jersey,6463620,6913722
2024,Cancer Insurance,Florida,9940743,10123197
2018,Accident Insurance,Maryland,4137017,3949179
2024,Dental & Vision,Wisconsin,2469771,2113293
2017,Accident Insurance,Tennessee,3904081,2889799
2024,Long-term Care,Florida,6602488,8639082
2022,Indemnity Health,Tennessee,2752968,2895104
2021,Dental & Vision,Maryland,4965703,4687089
2019,Accident Insurance,California,14822362,11667127
2019,Critical Illness,New York,8095695,6513377
2023,Accident Insurance,Florida,8098963,5978597
2023,Long-term Care,Arizona,4138748,3821340
2019,Indemnity Health,Indiana,2895200,2499035
2022,Cancer Insurance,New Jersey,6083562,5057937
2021,Cancer Insurance,Wisconsin,3825669,2413284
2017,Dental & Vision,Pennsylvania,6578671,5570521
2021,Dental & Vision,Georgia,4391727,3569656
2019,Dental & Vision,Maryland,5104971,4391459
2016,Dental & Vision,Florida,8342295,5214520
2017,Cancer Insurance,North Carolina,4743831,3856585
2019,Indemnity Health,New Jersey,4940613,5593539
2024,Critical Illness,Illinois,6852862,4072008
2017,Accident Insurance,Florida,8953061,5613836
2023,Accident Insurance,Illinois,7188428,7692528
2023,Cancer Insurance,Texas,9087584,6924239
2024,Accident Insurance,Missouri,3940343,2853325
2024,Dental & Vision,Georgia,5129662,4114856
2019,Accident Insurance,Illinois,6577480,5456286
2021,Indemnity Health,Georgia,4856780,4218482
2019,Cancer Insurance,Maryland,4854980,2987648
2016,Long-term Care,New Jersey,5546906,4789201
2017,Dental & Vision,New York,11295042,7944193
2020,Critical Illness,New York,12435741,10417159
2015,Accident Insurance,Florida,8437019,6980636
2024,Dental & Vision,Pennsylvania,5010114,4080438
2021,Dental & Vision,Missouri,3585600,3296893
2015,Long-term Care,Texas,7924779,7287147
2017,Cancer Insurance,California,11044137,10529439
2018,Indemnity Health,New York,10108652,11220224
2020,Cancer Insurance,Arizona,4417501,3609554
2015,Accident Insurance,Arizona,3170970,2220214
2015,Cancer Insurance,Illinois,6327359,4802489
2022,Cancer Insurance,Tennessee,3885676,3042629
2024,Accident Insurance,North Carolina,4598255,4172046
2019,Accident Insurance,Ohio,4054991,3381638
2020,Critical Illness,Virginia,4079228,3338311
2018,Critical Illness,Illinois,4727765,3765270
2020,Indemnity Health,Florida,9858192,8866643
2023,Long-term Care,Tennessee,4312707,4261965
2022,Cancer Insurance,Massachusetts,4198343,3679633
2022,Cancer Insurance,Virginia,4671490,3337100
2024,Critical Illness,Massachusetts,3631122,2101611
2022,Accident Insurance,North Carolina,5784017,4897519
2019,Critical Illness,Ohio,4799039,3624337
2024,Indemnity Health,Michigan,3228469,2960726
2017,Dental & Vision,Pennsylvania,4347979,3331473
2016,Indemnity Health,Texas,11450952,9787774
2023,Accident Insurance,Georgia,3996756,2999019
2018,Cancer Insurance,New York,12780808,10886431
2016,Critical Illness,Missouri,3058529,1758380
2024,Cancer Insurance,Texas,10596893,9000391
2018,Critical Illness,North Carolina,4878173,3799742
2019,Accident Insurance,Missouri,4082577,3917628
2015,Cancer Insurance,Virginia,4877812,4201321
2018,Critical Illness,Washington,5948754,4023377
2016,Long-term Care,New Jersey,3812021,3738077
2018,Critical Illness,Illinois,7047025,5310993
2024,Dental & Vision,Missouri,2414309,2186398
2017,Cancer Insurance,Maryland,3165177,2566507
2015,Dental & Vision,Missouri,2949921,2113762
2024,Critical Illness,Arizona,4288991,3510840
2019,Long-term Care,New York,12416067,12997961
2018,Long-term Care,Wisconsin,2993733,3621027
2016,Dental & Vision,New Jersey,4418103,3252813
2017,Accident Insurance,Georgia,4041383,3099477
2023,Accident Insurance,Virginia,3376140,3291927
2016,Long-term Care,Missouri,4199773,5254002
2022,Dental & Vision,Indiana,3317675,2873548
2016,Accident Insurance,Massachusetts,3719769,2333396
2023,Indemnity Health,Washington,3923356,2890938
2017,Dental & Vision,Wisconsin,4128453,3609710
2017,Dental & Vision,Ohio,5138755,3169387
2018,Long-term Care,Virginia,4013771,4318929
2020,Indemnity Health,Florida,6304372,5976732
2024,Cancer Insurance,Florida,7240241,6532101
2024,Indemnity Health,Michigan,3675919,3337442
2020,Dental & Vision,Ohio,4325583,3832278
2018,Critical Illness,Ohio,4559471,3825424
2024,Critical Illness,Wisconsin,3685657,3019492
2022,Accident Insurance,Pennsylvania,4934288,4696834
2018,Critical Illness,Virginia,5232053,4489224
2023,Critical Illness,Texas,10134772,8251346
2020,Critical Illness,Missouri,3141956,2318713
2015,Accident Insurance,Wisconsin,4063254,2541895
2015,Accident Insurance,Georgia,5350552,4502570
2016,Indemnity Health,Arizona,4298901,3445801
2015,Long-term Care,Arizona,3671131,3992341
2023,Dental & Vision,Arizona,3568823,3286204
2017,Indemnity Health,Massachusetts,5742889,4825229
2021,Dental & Vision,Pennsylvania,4413756,3483950
2020,Dental & Vision,Georgia,4978566,3867112
2020,Accident Insurance,New Jersey,5876633,4870698
2023,Dental & Vision,Florida,9383961,8921693
2020,Cancer Insurance,California,13136361,8377572
2020,Long-term Care,Michigan,3225173,3117761
2023,Cancer Insurance,Missouri,2469969,2225918
2018,Long-term Care,California,9211000,7819072
2017,Long-term Care,California,14522467,18328992
2022,Indemnity Health,Massachusetts,5985300,4610498
2020,Critical Illness,New York,12603703,6818862
2016,Dental & Vision,Missouri,2341411,1875703
2018,Cancer Insurance,Florida,6141661,3915469
2023,Cancer Insurance,Pennsylvania,4234204,3489260
2022,Indemnity Health,Michigan,4395054,4424566
2024,Critical Illness,Ohio,5587576,3763247
2018,Indemnity Health,California,10060479,7519866
2017,Dental & Vision,Wisconsin,2550330,2188014
2018,Cancer Insurance,Florida,7681553,5103002
2023,Dental & Vision,Georgia,3259128,2417790
2022,Critical Illness,Arizona,4764306,2675187
2017,Accident Insurance,Illinois,7274474,6039229
2015,Cancer Insurance,Texas,10980303,9012918
2015,Critical Illness,Ohio,3682193,2709048
2021,Dental & Vision,Texas,10402935,9323817
2015,Indemnity Health,Pennsylvania,6331061,5928508
2015,Critical Illness,Arizona,3942588,2568956
2019,Critical Illness,Georgia,5243569,3728298
2017,Accident Insurance,New York,8546254,5897555
2023,Accident Insurance,Wisconsin,3451530,2857448
2015,Critical Illness,Missouri,3389439,1875139
2021,Critical Illness,New York,9464560,7535464
2022,Dental & Vision,Indiana,3824492,2746248
2020,Critical Illness,Tennessee,3094814,2061202
2022,Critical Illness,Maryland,3201226,2114280
2016,Critical Illness,Texas,10617712,7046316
2021,Critical Illness,Washington,5056587,4714217
2024,Cancer Insurance,Tennessee,4106647,2723153
2015,Cancer Insurance,Virginia,5286764,3758089
2016,Critical Illness,Missouri,3877898,1905514
2023,Accident Insurance,Texas,7550106,5236249
2020,Critical Illness,Florida,6714948,3979170
2023,Critical Illness,Michigan,3709983,2325575
2024,Critical Illness,Indiana,2878897,2125608
2020,Indemnity Health,Illinois,5230648,5702609
2015,Indemnity Health,Indiana,2711140,2226473
2017,Indemnity Health,Arizona,3748849,3169957
2015,Critical Illness,Massachusetts,3740552,2211278
2019,Long-term Care,Ohio,3700402,4332094
2017,Critical Illness,Missouri,2687252,1600312
2019,Indemnity Health,Indiana,2803853,2857573
2023,Dental & Vision,Massachusetts,4504927,3678708
2023,Long-term Care,Illinois,6523111,7879084
2019,Cancer Insurance,Arizona,3558946,2669439
2017,Long-term Care,Tennessee,4272176,4286421
2024,Dental & Vision,North Carolina,5609333,5081249
2018,Critical Illness,Florida,6085705,3590301
2016,Indemnity Health,California,9802654,9662547
2016,Long-term Care,Massachusetts,4263563,4765964
2019,Indemnity Health,Pennsylvania,4604608,4956804
2017,Indemnity Health,Arizona,3984051,3840218
2022,Cancer Insurance,Ohio,3846847,3901777
2020,Long-term Care,Tennessee,2619968,3074984
2016,Long-term Care,Wisconsin,2565197,2509095
2017,Accident Insurance,Virginia,4525422,3679764
2023,Critical Illness,Ohio,5858425,4110149
2023,Dental & Vision,Tennessee,2930882,2247500
2016,Indemnity Health,Florida,7785505,7002587
2019,Critical Illness,Pennsylvania,4217624,3222823
2024,Long-term Care,Massachusetts,4202888,4143124
2016,Critical Illness,Texas,9009146,7031732
2021,Cancer Insurance,Missouri,3121575,1928119
2018,Critical Illness,New York,8201917,6191276
2018,Cancer Insurance,Massachusetts,4624550,4333675
2022,Accident Insurance,Texas,8375809,7561812
2022,Accident Insurance,Massachusetts,3914426,2956766
2021,Indemnity Health,Michigan,3124400,2953546
2023,Dental & Vision,Tennessee,4306321,4441128
2024,Critical Illness,Virginia,4374348,2791754
2020,Long-term Care,California,11871235,11374933
2021,Accident Insurance,Texas,10150456,8755268
2021,Indemnity Health,Wisconsin,4286418,4371274
2020,Critical Illness,Florida,9607506,5240745
2021,Critical Illness,Pennsylvania,5787870,4749119
2018,Cancer Insurance,Florida,6290468,4005728
2024,Accident Insurance,Georgia,3033388,3009836
2019,Accident Insurance,Michigan,3912274,3326254
2022,Critical Illness,Wisconsin,2576703,2041795
2017,Dental & Vision,Georgia,3574878,2564525
2024,Dental & Vision,California,14917740,10167962
2019,Accident Insurance,Virginia,3918415,3295424
2016,Accident Insurance,New Jersey,5251193,4318292
2019,Long-term Care,New York,8782518,8249377
2024,Indemnity Health,Indiana,3685381,3264769
2017,Critical Illness,Virginia,3657618,2322887
2023,Critical Illness,Pennsylvania,5947528,3511625
2020,Dental & Vision,Michigan,3351019,2585359
2018,Dental & Vision,Massachusetts,5572685,4444518
